"","medal_name","medal_subname","instituted","url"
"1215","Finland: Armored Guild Cross of Merit","Panssarikillan ansioristit","Unknown","https://medals.org.uk/finland/finland094.htm"
"1216","Finland: Coastal Artillery Guild Medal of Merit","Rannikon Puolustajain killan ansiomitali","Unknown","https://medals.org.uk/finland/finland095.htm"
"1217","Finland: Signals' Organization Cross of Merit","Viestiristi","Unknown","https://medals.org.uk/finland/finland096.htm"
"1218","Finland: Paratroopers' Guild Medal of Merit","Laskuvarjojaakarikillan ansiomitalit","Unknown","https://medals.org.uk/finland/finland097.htm"
"1219","Finland: Uusima Light Infantry Battalion Guild Medal of Merit","Uudenmaan Jaakaripataljoonan killan ansiomitali","Unknown","https://medals.org.uk/finland/finland098.htm"
"1220","Finland: Mounted Reserve Association Medal of Merit","Reserviratsastajat ry:n ansiomitali","Unknown","https://medals.org.uk/finland/finland099.htm"
"1221","Finland: Sissi Organization Medal of Merit","Sissimitali","Unknown","https://medals.org.uk/finland/finland100.htm"
"1222","Finland: Fire Officers Association Grand Cross","Suomen Palopaallystoliiton suurristi","Unknown","https://medals.org.uk/finland/finland101.htm"
"1223","Finland: Fire Officers Association Cross of Merit","Suomen Palopaallystoliiton ansioristi","Unknown","https://medals.org.uk/finland/finland102.htm"
"1224","Finland: Fire Officers Association Medal of Merit","Suomen Palopaallystoliiton ansiomitali","Unknown","https://medals.org.uk/finland/finland103.htm"
"1225","Finland: Fireproofing Association Cross of Merit","Palontorjuntaliiton ansioristi","Unknown","https://medals.org.uk/finland/finland104.htm"
"1226","Finland: Fireproofing Association Special Cross of Merit","Palontorjuntaliiton erikoisansioristi","Unknown","https://medals.org.uk/finland/finland105.htm"
"1227","Finland: Fireproofing Association Medal of Merit","Palontorjuntaliiton ansiomitali","Unknown","https://medals.org.uk/finland/finland106.htm"
"1228","Finland: Finnish War Veterans' Union 25th Anniversary Medal","Suomen Sotaveteraniliiton 25-vuotismitali","Unknown","https://medals.org.uk/finland/finland107.htm"
"1229","Finland: Finnish Frontmen's Union 25th Anniversary Medal","Suomen Rintamamiesliiton 25-vuotismitali","Unknown","https://medals.org.uk/finland/finland108.htm"
"1230","Finland: Finnish Chamber of Commerce Medal","Suomen Talousseuran mitali","Unknown","https://medals.org.uk/finland/finland109.htm"
"1231","Finland: Central Association of Agriculture Medal of Merit","Maatalousseurojen Keskusliiton ansiomitali","Unknown","https://medals.org.uk/finland/finland110.htm"
"1232","Finland: Finnish Business Association Cross of Merit","Suomen Yrittäjäin Keskusliiton ansioristi","Unknown","https://medals.org.uk/finland/finland111.htm"
"1233","Finland: Community Assoctiation Decoration of Honour","Suomen Kuntaliiton kunniamerkki","Unknown","https://medals.org.uk/finland/finland112.htm"
"1234","Finland: Medal of Helsinki","Helsinki-mitali","Unknown","https://medals.org.uk/finland/finland113.htm"
"1235","Finland: Voimaliito Resistance Organization Commemorative Medal","Voimaliiton muistomitali","Unknown","https://medals.org.uk/finland/finland114.htm"
"1236","Finland: Activist Resistance Organization Commemorative Medal","Jaakariaktivistimitali","Unknown","https://medals.org.uk/finland/finland115.htm"
"1237","Finland: Medal of Protesters against Call-up to Military Service 1902-04","Vuosien 1902-04 kutusuntalakkolaisten muistomitali","Unknown","https://medals.org.uk/finland/finland070.htm"
"1238","Finland: Inkerian Wite Wall Organization Cross of Gallantry","Inkerin Valkoisen Muurin urhoollissuusristi","Unknown","https://medals.org.uk/finland/finland116.htm"
"1239","Finland: Inkerian Liberty Organization Member's Decoration","Inkerin vapausliikkkeen osanottajamerkki","Unknown","https://medals.org.uk/finland/finland117.htm"
"1240","Finland: Finnish Former Wars Participants' Commemorative Medal","Suomen entinen sotavaen muistomitali","Unknown","https://medals.org.uk/finland/finland118.htm"
"1241","Finland: Finnish Guards Commemorative Medal","Suomen Kaartiin muistomitali","Unknown","https://medals.org.uk/finland/finland119.htm"
"1242","Finland: War of Kindred Nations Commemorative Cross (1918-22)","Heimosotaristi","Unknown","https://medals.org.uk/finland/finland046.htm"
"1243","Finland: Battle of Tampere Commemorative Medal (1918)","Tampereen valtauksen muistomitali","Unknown","https://medals.org.uk/finland/finland037.htm"
"1244","Finland: Battle of Vilppula Commemorative Medal (1918)","Vilppulan risti","Unknown","https://medals.org.uk/finland/finland120.htm"
"1245","Finland: Battle of Rautu Commemorative Cross (1918)","Raudun risti","Unknown","https://medals.org.uk/finland/finland121.htm"
"1246","Finland: Battle of Patterimaki Commemorative Cross (1918)","Patterimakelaisten risti","Unknown","https://medals.org.uk/finland/finland122.htm"
"1247","Finland: Battle of Svidia Commemorative Medal","Svidjan mitali","Unknown","https://medals.org.uk/finland/finland123.htm"
"1248","Finland: Capture of Helsinki Commemorative Medal (1918)","Helsingin valloituksen muistomitali","Unknown","https://medals.org.uk/finland/finland124.htm"
"1249","Finland: Venajansaari Commemorative Medal","Venäjänsaaren muistomitali","Unknown","https://medals.org.uk/finland/finland125.htm"
"1250","Finland: Eastern Carelia Commemorative Cross (1919-22)","Karjalan muistomitali","Unknown","https://medals.org.uk/finland/finland126.htm"
"1251","Finland: Aunus Commemorative Cross (1918-22)","Aunuksen muistomitali","Unknown","https://medals.org.uk/finland/finland127.htm"
"1252","Finland: Veterans' Cross","Veteraaniristi","Unknown","https://medals.org.uk/finland/finland128.htm"
"1253","Finland: Peasants' March Commemorative Medal 1930","Talonpoikaismaarsin muistomitali","Unknown","https://medals.org.uk/finland/finland129.htm"
"1254","Finland: Headquarters Cross","Paamajan risti","Unknown","https://medals.org.uk/finland/finland130.htm"
"1255","Finland: Home Front Commemorative Cross","Kotijoukkojen muistoristi","Unknown","https://medals.org.uk/finland/finland049.htm"
"1256","Finland: Air Force Commemorative Cross","Ilmavoimien muistoristi","Unknown","https://medals.org.uk/finland/finland131.htm"
"1257","Finland: Navy Commemorative Cross","Laivaston muistoristi","Unknown","https://medals.org.uk/finland/finland132.htm"
"1258","Finland: Coastal Artillery Commemorative Cross","Rannikkojoukkojen muistoristi","Unknown","https://medals.org.uk/finland/finland067.htm"
"1259","Finland: Karelian Cross","Karjalan risti","Unknown","https://medals.org.uk/finland/finland133.htm"
"1260","Finland: Engineer Units Cross","Pioneeriristi","Unknown","https://medals.org.uk/finland/finland134.htm"
"1261","Finland: Military Railway Units Cross","Sotarautatiemuodostelmien risti","Unknown","https://medals.org.uk/finland/finland135.htm"
"1262","Finland: Frontier Guards Commemorative Cross","Rajajaakarijoukkojen muistoristi","Unknown","https://medals.org.uk/finland/finland136.htm"
"1263","Finland: Medal for Women on the Home Front","Kotirintamanaisten mitali","Unknown","https://medals.org.uk/finland/finland048.htm"
"1264","Finland: Kainuu Cross","Kainuun risti","Unknown","https://medals.org.uk/finland/finland028.htm"
"1265","Finland: Ladoga Medal","Laatokan mitali","Unknown","https://medals.org.uk/finland/finland023.htm"
"1266","Finland: Laplands War Commemorative Cross","Lapin sodan muistoristi","Unknown","https://medals.org.uk/finland/finland024.htm"
"1267","Finland: Western Karelia Isthmus Cross","Lansi-Kannaksen risti","Unknown","https://medals.org.uk/finland/finland032.htm"
"1268","Finland: Muolaa Cross","Muolaan risti","Unknown","https://medals.org.uk/finland/finland137.htm"
"1269","Finland: Pitkaranta Cross","Pitkarannan risti","Unknown","https://medals.org.uk/finland/finland029.htm"
"1270","Finland: Summa Cross","Summan risti","Unknown","https://medals.org.uk/finland/finland026.htm"
"1271","Finland: Taipale Cross","Taipaleen risti","Unknown","https://medals.org.uk/finland/finland031.htm"
"1272","Finland: Kollaa Cross","Kollaan risti","5 May 1940","https://medals.org.uk/finland/finland034.htm"
"1273","Finland: Koivisto Cross","Koiviston risti","Unknown","https://medals.org.uk/finland/finland030.htm"
"1274","Finland: Tolvajarvi Cross","Tolvajarven risti","Unknown","https://medals.org.uk/finland/finland045.htm"
"1275","Finland: Middle Karelian Isthmus Cross","Keski-Kannaksen risti","Unknown","https://medals.org.uk/finland/finland025.htm"
"1276","Finland: Maaselka Cross (2nd Army Corps)","Maaselan risti","Unknown","https://medals.org.uk/finland/finland052.htm"
"1277","Finland: Northern Viena Cross (3rd Army Corps)","Pohjois-Vienan risti","Unknown","https://medals.org.uk/finland/finland053.htm"
"1278","Finland: Carelian Isthmus Cross (4th Army Corps)","Kannaksen risti","Unknown","https://medals.org.uk/finland/finland054.htm"
"1279","Finland: Eastern Svir Cross (5th Army Corps)","Ita-Syvarin risti
","Unknown","https://medals.org.uk/finland/finland055.htm"
"1280","Finland: Aunus Cross (6th Army Corps)","Aunuksen risti","Unknown","https://medals.org.uk/finland/finland036.htm"
"1281","Finland: Lake Aaninens Cross (7th Army Corps)","Aanisen muistoristi","Unknown","https://medals.org.uk/finland/finland056.htm"
"1282","Finland: Armoured Division Cross","Panssaridivissioonan risti","Unknown","https://medals.org.uk/finland/finland057.htm"
"1283","Finland: 1st Division Commemorative Cross 1941-44","1. Divisioonan muistoristi","Unknown","https://medals.org.uk/finland/finland021.htm"
"1284","Finland: 2nd (Breaker) Division Commemorative Cross","2. Divisioonan (Murtajadivisjoonan) muistoristi","Unknown","https://medals.org.uk/finland/finland058.htm"
"1285","Finland: 4th Division Commemorative Cross","4. Divisioonan muistoristi","Unknown","https://medals.org.uk/finland/finland047.htm"
"1286","Finland: 5th (Lynx) Division Commemorative Cross","5. Divisioonan (Ilvesdivisioonan) muistoristi","Unknown","https://medals.org.uk/finland/finland059.htm"
"1287","Finland: 6th Division Commemorative Cross","6. Divisioonan muistoristi","Unknown","https://medals.org.uk/finland/finland060.htm"
"1288","Finland: 7th Division Commemorative Cross (Sword Cross)","7. Divisioonan muistoristi (Kalparisti)","Unknown","https://medals.org.uk/finland/finland061.htm"
"1289","Finland: 8th Division Commemorative Cross","8. Divisioonan (Kolmen Kannaksen Koukkaajien) muistoristi","Unknown","https://medals.org.uk/finland/finland062.htm"
"1290","Finland: 10th Division Commemorative Cross","10. Divisioonan muistoristi","Unknown","https://medals.org.uk/finland/finland063.htm"
"1291","Finland: 11th (Spearhead) Division Commemorative Cross","11. Divisioonan (Kiiladivisioona) muistoristi","Unknown","https://medals.org.uk/finland/finland050.htm"
"1292","Finland: 12th Division Commemorative Cross","12. Divisioonan muistoristi","Unknown","https://medals.org.uk/finland/finland064.htm"
"1293","Finland: 14th Division Cross (Rukajarvi Outlet)","14. Divisioonan muistoristi (Rukajarven suunnan)","Unknown","https://medals.org.uk/finland/finland051.htm"
"1294","Finland: 15th Division & 19th Brigade (Eastern Karelian Isthmus) Cross","15. Divisioonan & 19. Prikaatin (Itä-Kannaksen) risti","Unknown","https://medals.org.uk/finland/finland065.htm"
"1295","Finland: 17th (Oak) Division Commemorative Cross","17. Divisioonan (Tammidivisioonan) muistoristi","Unknown","https://medals.org.uk/finland/finland138.htm"
"1296","Finland: 18th Division Commemorative Cross","18. Divisioonan muistoristi","Unknown","https://medals.org.uk/finland/finland139.htm"
"1297","Finland: 19th Division Commemorative Cross","19. Divisioonan muistoristi","Unknown","https://medals.org.uk/finland/finland140.htm"
"1298","Finland: Oinonen Group Commemorative Cross","Ryhma Oinonen - RvPr:n muistoristi","Unknown","https://medals.org.uk/finland/finland141.htm"
"1299","Finland: 3rd (Blue) Brigade Commemorative Cross","3. (Sinisen) Prikaatin muistoristi","Unknown","https://medals.org.uk/finland/finland142.htm"
"1300","Finland: 15th Brigade Commemorative Cross","15. Prikaatin muistoristi","Unknown","https://medals.org.uk/finland/finland143.htm"
"1301","Finland: Kuussaari Brigade Commemorative Cross","Prikaati Kuussaarin muistoristi","Unknown","https://medals.org.uk/finland/finland144.htm"
"1302","Finland: Lapland Cross for the Continuation War","Jatkosodan Lapin risti","Unknown","https://medals.org.uk/finland/finland145.htm"
"1303","Finland: Finnish Voluntary SS-Division Cross","SS-vapaa-ehtoisten muistoristi","Unknown","https://medals.org.uk/finland/finland146.htm"
"1304","Finland: Swedish Volunteers' Commemorative Cross","Ruotsalaisen vapaaehtoisten muistoristi","Unknown","https://medals.org.uk/finland/finland022.htm"
"1305","Finland: Swedish Brigade Commemorative Medal","Ruotsalaisen prikaatin muistomitali","Unknown","https://medals.org.uk/finland/finland147.htm"
"1306","Finland: 8th Military Hospital Commemorative Medal","8. Sotasairaalan muistomitali","Unknown","https://medals.org.uk/finland/finland148.htm"
"1307","France: Legion of Honour","Légion d'Honneur","19 May 1802","https://medals.org.uk/france/france004.htm"
"1308","France: Order of Liberation","L'Ordre de la Libération","17 November 1940","https://medals.org.uk/france/france015.htm"
"1309","France: Military Medal","Médaille Militaire","22 January 1852 by Napoleon III","https://medals.org.uk/france/france003.htm"
"1310","France: National Order of Merit","Ordre national du Mérite","3 December 1963","https://medals.org.uk/france/france016.htm"
"1311","France: War Cross 1914-18","Croix de Guerre 1914-18","8 April 1915","https://medals.org.uk/france/france017.htm"
"1312","France: War Cross 1939-45","Croix de Guerre 1939-45","26 September 1939","https://medals.org.uk/france/france018.htm"
"1313","France: War Cross for Overseas Operations","Croix de Guerre des Théâtres Opérationnels Extérieurs","30 April 1921","https://medals.org.uk/france/france019.htm"
"1314","France: Cross for Miltary Valour","Croix de la Valeur Militaire","11 April 1956","https://medals.org.uk/france/france020.htm"
"1315","France: Medal of the National Gendarmerie","Médaille de la Gendarmerie Nationale","5 September 1949","https://medals.org.uk/france/france021.htm"
"1316","France: Resistance Medal","Médaille de la Résistance ","9 February 1943.","https://medals.org.uk/france/france022.htm"
"1317","France: Order of the Academic Palms","Ordre des Palmes Académiques","17 March 1808","https://medals.org.uk/france/france023.htm"
"1318","France: Order of Agricultural Merit","Ordre du Mérite Agricole ","7 July 1883","https://medals.org.uk/france/france026.htm"
"1319","France: Order of Maritime Merit","Ordre du Mérite Maritime","9 February 1930","https://medals.org.uk/france/france027.htm"
"1320","France: Order of Social Merit","Ordre du Mérite Social","25 October 1936.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france029.htm"
"1321","France: Order of Public Health","Ordre de la Santé Publique","18 February 1938.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france030.htm"
"1322","France: Order of Commercial Merit","Ordre du Mérite Commercial","27 May 1939.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france031.htm"
"1323","France: Order of Merit for Tourism","Ordre du Mérite Touristique","27 May 1949.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france032.htm"
"1324","France: Order of Merit for Crafts","Ordre du Mérite Artisanal","11 June 1948.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france033.htm"
"1325","France: Order of Merit for Service to Veterans","Ordre du Mérite Combattant","14 September 1953.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france034.htm"
"1326","France: Order of Postal Merit","Ordre du Mérite Postal","14 November 1953.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france035.htm"
"1327","France: Order of the National Economy","Ordre de l'Economie Nationale","6 January 1954.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france036.htm"
"1328","France: Order of Sporting Merit","Ordre du Mérite Sportif","6 July 1956.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france037.htm"
"1329","France: Order of Merit for Commerce and Industry","Ordre du Mérite du Travail","21 January 1957.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france038.htm"
"1330","France: Order of Military Merit","Ordre du Mérite Militaire","22 March 1957.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france039.htm"
"1331","France: Order of Civil Merit","Ordre du Mérite Civil","2 May 1957.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france040.htm"
"1332","France: Order of Merit for the Sahara","Ordre du Mérite Saharien","4 May 1958.Discontinued: 1 January 1964 & replaced by the National Order of Meri","https://medals.org.uk/france/france041.htm"
"1333","France: Order of Arts and Letters","Ordre des Arts et Lettres","2 May 1957","https://medals.org.uk/france/france028.htm"
"1334","France: Medal for Escaped Prisoners of War","Médaille des Évadés","20 August 192","https://medals.org.uk/france/france045.htm"
"1335","France: Cross for Volunteers 1914-18","Croix du Combattant Volontaire 1914-18","4 July 193","https://medals.org.uk/france/france046.htm"
"1336","France: Cross for Volunteers","Croix du Combattant Volontaire","5 February 1953","https://medals.org.uk/france/france047.htm"
"1337","France: Cross for Volunteers in the Resistance","Croix du Combattant Volontaire de la Résistance","15 April 1954","https://medals.org.uk/france/france048.htm"
"1338","France: Aeronatical Medal","Médaille de l'Aéronautique","14 February 1945","https://medals.org.uk/france/france052.htm"
"1339","France: Combatant's Cross","Croix du Combattant","28 June 1930","https://medals.org.uk/france/france049.htm"
"1340","France: French Gratitude Medal","Médaille de la Reconnaissance Française ","13 July 1917","https://medals.org.uk/france/france050.htm"
"1341","France: Overseas Medal","Médaille d'Outre-Mer","6 June 1962 to replace the Colonial Medal","https://medals.org.uk/france/france053.htm"
"1342","France: National Defence Medal","Médaille de la Défense nationale","21 April 1982","https://medals.org.uk/france/france054.htm"
"1343","France: Medal for Voluntary Military Service","Médaille des services militaires volontaires","13 March 1975","https://medals.org.uk/france/france055.htm"
"1344","France: St Helena Medal","Médaille de Sainte-Hélène","1857","https://medals.org.uk/france/france068.htm"
"1345","France: 1859 Italian Campaign Commemorative Medal","Médaille commémorative de la campagne d'Italie de 1859","11 August 1859","https://medals.org.uk/france/france062.htm"
"1346","France: Expedition to China Commemorative Medal (1860)","Médaille commémorative de l'expédition de Chine de 1860","23 January 1861","https://medals.org.uk/france/france069.htm"
"1347","France: Expedition to Mexico Commemorative Medal","Médaille commémorative de l'expédition du Mexique","29 August 1863","https://medals.org.uk/france/france063.htm"
"1348","France: 1870-1871 War Commemorative Medal","Médaille commémorative de la guerre 1870-1871","9 November 1911","https://medals.org.uk/france/france070.htm"
"1349","France: First Madagascar Campaign Commemorative Medal (1883)","Médaille commémorative de Madagascar","31 July 1886","https://medals.org.uk/france/france071.htm"
"1350","France: Tonkin Expedition Commemorative Medal","Médaille commémorative de l'expédition du Tonkin","6 September 1885","https://medals.org.uk/france/france064.htm"
"1351","France: Expedition to Dahomey Commemorative Medal","Médaille commémorative de l'Expédition du Dahomey","12 November 1892","https://medals.org.uk/france/france094.htm"
"1352","France: Second Madagascar Campaign Commemorative Medal","Médaille commémorative de Madagascar","15 January 1896","https://medals.org.uk/france/france065.htm"
"1353","France: Colonial Medal","Médaille Coloniale","26 July 1893","https://medals.org.uk/france/france075.htm"
"1354","France: China Commemorative Medal (1901)","Médaille commémorative de l'expédition de Chine (1901)","15 April 1904","https://medals.org.uk/france/france066.htm"
"1355","France: Morocco Commemorative Medal (1909)","Médaille commémorative du Maroc (1909)","22 July 1909","https://medals.org.uk/france/france058.htm"
"1356","France: Interallied Victory Medal 1914-1918","Médaille Interalliée de la Victoire 1914-1918","20 July 1922","https://medals.org.uk/france/france057.htm"
"1357","France: 1914-18 War Commemorative Medal","Médaille commémorative de la guerre 1914-1918","23 June 1920","https://medals.org.uk/france/france067.htm"
"1358","France: Orient Commemorative Medal (1915-1918)","Médaille commémorative d'Orient","15 June 1926","https://medals.org.uk/france/france061.htm"
"1359","France: Medal for civilian prisoners, deportees and hostages of the 1914-1918 Great War","Médaille des prisonniers civils, déportés et otages de la Grande Guerre 1914-1918","14 March 1936","https://medals.org.uk/france/france079.htm"
"1360","France: Commemorative Medal for Syria-Cilicia","Médaille commémorative de Syrie-Cilicie","18 July 1922","https://medals.org.uk/france/france092.htm"
"1361","France: 1939-1945 Commemorative War Medal","Médaille commémorative de la guerre 1939-1945","21 May 1946","https://medals.org.uk/france/france072.htm"
"1362","France: Commemorative Medal for the Italian Campaign 1943-1944","Médaille commémorative de la campagne d'Italie 1943-1944","1 April 1953","https://medals.org.uk/france/france073.htm"
"1363","France: United Nations Operations in Korea Commemorative Medal","Médaille commémorative des opérations de l'ONU en Corée","8 January 1952","https://medals.org.uk/france/france093.htm"
"1364","France: Indo-China Campaign Commemorative Medal","Médaille Commémorative de la campagne d'Indochine","1 August 1953","https://medals.org.uk/france/france077.htm"
"1365","France: Commemorative Medal for Operations in the Middle East","Médaille commémorative des opérations du Moyen-Orient","22 May 1957","https://medals.org.uk/france/france074.htm"
"1366","France: Commemorative Medal for Security and Order Operations","Médaille Commémorative des Opérations de Sécurité et de Maintien de l'Ordre","12 October 1956, revised to current name and design 11 January 1958","https://medals.org.uk/france/france076.htm"
"1367","France: North Africa Medal","Médaille d'Afrique du Nord","29 April 1997.Discontinued: 12 April 2002, being replaced by the Medal of the Nation's Gratitude with the clasp ""AFRIQUE DU NORD""","https://medals.org.uk/france/france002.htm"
"1368","France: French Commemorative Medal","Médaille Commémorative française","9 October 1995","https://medals.org.uk/france/france078.htm"
"1369","France: Medal of the Nation's Gratitude","Médaille de Reconnaissance de la Nation","12 April 2002","https://medals.org.uk/france/france082.htm"
"1370","France: Insignia for the Military Wounded","Insigne des blessés militaires","11 December 1916","https://medals.org.uk/france/france080.htm"
"1371","France: Medal of Honour for Acts of Devotion and Rescue","Médaille d'honneur pour actes de Dévouement et faits de Sauvetage","2 March 1820","https://medals.org.uk/france/france060.htm"
"1372","France: Medal of Honour for Courage and Devotion","Médaille d'honneur pour acte de courage et de dévouement","20 March 1820","https://medals.org.uk/france/france081.htm"
"1373","France: Medal of Honour for Merchant Mariners and Fishermen","Médaille d'honneur des marins du commerce et de la pêche","14 December 1901","https://medals.org.uk/france/france059.htm"
"1374","France: Medal of Honour for the Railways","Médaille d'Honneur des Agents des Chemins de Fer","19 August 1913","https://medals.org.uk/france/france001.htm"
"1375","France: Medal of Honour for Aviation","Médaille d'honneur de l'aéronautique","12 January 1921","https://medals.org.uk/france/france091.htm"
"1376","France: Medal of Honour for Civilian Employees of the Ministry of Defence","Médaille d'honneur des personnels civils du ministère de la défense","15 January 1976, to replace separate Medals of Honour for civilian employees of the Army, Air Force and Navy","https://medals.org.uk/france/france056.htm"
"1377","Gabon: Order of the Equatorial Star",NA,"6 August 1959","https://medals.org.uk/gabon/gabon001.htm"
"1378","Gabon: National Order of Merit",NA,"1971","https://medals.org.uk/gabon/gabon010.htm"
"1379","Gabon: Order of Friendship",NA,"Unknown.Discontinued: 1971 & replaced by the National Order of Meri","https://medals.org.uk/gabon/gabon011.htm"
"1380","Gabon: Order of National Education",NA,"Unknown","https://medals.org.uk/gabon/gabon002.htm"
"1381","Gabon: Order of Agricultural Merit",NA,"Unknown","https://medals.org.uk/gabon/gabon012.htm"
"1382","Gabon: Military Medal",NA,"Unknown","https://medals.org.uk/gabon/gabon009.htm"
"1383","Gabon: Medal of Gratitude for the Armed Forces",NA,"Unknown","https://medals.org.uk/gabon/gabon013.htm"
"1384","Gabon: Cross of Gratitude for the Republican Guards",NA,"Unknown","https://medals.org.uk/gabon/gabon008.htm"
"1385","Gabon: Medal of the Gendarmerie",NA," ","https://medals.org.uk/gabon/gabon004.htm"
"1386","Gabon:
Police Medal for Courage",NA," ","https://medals.org.uk/gabon/gabon003.htm"
"1387","Gabon: Police Medal of Honour",NA,"Unknown, revised 1971","https://medals.org.uk/gabon/gabon015.htm"
"1388","Gabon:
Police Medal",NA," ","https://medals.org.uk/gabon/gabon005.htm"
"1389","Gabon: Medal of Gratitude of Gabon",NA,"Unknown","https://medals.org.uk/gabon/gabon014.htm"
"1390","Gabon:
Customs Medal",NA," ","https://medals.org.uk/gabon/gabon006.htm"
"1391","Gabon: Honour Medal for Workers",NA,"Unknown","https://medals.org.uk/gabon/gabon007.htm"
"1392","The Gambia: Order of the Republic of The Gambia",NA,"1972","https://medals.org.uk/gambia/gambia001.htm"
"1393","The
Gambia: Millennium Medal",NA," ","https://medals.org.uk/gambia/gambia005.htm"
"1394","The
Gambia: Distinguished Service Medal",NA," ","https://medals.org.uk/gambia/gambia006.htm"
"1395","The
Gambia: Special Honour Medal",NA," ","https://medals.org.uk/gambia/gambia007.htm"
"1396","The
Gambia: Special Military Award Medal",NA," ","https://medals.org.uk/gambia/gambia008.htm"
"1397","The
Gambia: General Service Medal",NA," ","https://medals.org.uk/gambia/gambia002.htm"
"1398","The Gambia: Long Service and Good Conduct Medal",NA,"Unknown","https://medals.org.uk/gambia/gambia009.htm"
"1399","The
Gambia: Fire Service Long Service Medal",NA," ","https://medals.org.uk/gambia/gambia003.htm"
"1400","The
Gambia: Commemorative Medal for the 10th Anniversary of Independence",NA," 3","https://medals.org.uk/gambia/gambia004.htm"
"1401","The United Nations:
UN Observer Mission in Sierra Leone
(UNOMSIL)",NA,NA,"https://medals.org.uk/gambia/../united-nations/united-nations040.htm"
"1402",NA,NA,NA,NA
"1403","Federal Republic of Germany: Order of Merit of the Federal Republic of Germany","Verdienstorden der Bundesrepublik Deutschland","7 September 1951","https://medals.org.uk/germany/frg/frg005.htm"
"1404","Federal Republic of Germany: Bundeswehr Honour Cross for Bravery","Ehrenkreuz der Bundeswehr für Tapferkeit","13 August 2008","https://medals.org.uk/germany/frg/frg002.htm"
"1405","Federal Republic of Germany: Honour Cross of the German Armed Forces for Distinguished Service","Ehrenkreuz der Bundeswehr","29 October 1980","https://medals.org.uk/germany/frg/frg006.htm"
"1406","Federal Republic of Germany: Honour Cross of the German Armed Forces","Ehrenkreuz der Bundeswehr","29 October 1980","https://medals.org.uk/germany/frg/frg007.htm"
"1407","Federal Republic of Germany: Honour Medal of the Armed Forces","Ehrenmedaille der Bundeswehr","6 November 1980","https://medals.org.uk/germany/frg/frg009.htm"
"1408","Federal Republic of Germany: Combat Action Medal of the Bundeswehr","Einsatzmedaille Gefecht","9 November 2010","https://medals.org.uk/germany/frg/frg004.htm"
"1409","Federal Republic of Germany: German Armed Forces Deployment Medal UNSCOM","Einzatzmedaille der Bundeswehr","25 April 1996","https://medals.org.uk/germany/frg/frg010.htm"
"1410","Federal Republic of Germany: German Armed Forces Deployment Medal Sharp Guard","Einzatzmedaille der Bundeswehr","25 April 1996","https://medals.org.uk/germany/frg/frg011.htm"
"1411","Federal Republic of Germany: Flood Service Medal 2002","Einsatzmedaille Fluthilfe 2002","20 September 2002","https://medals.org.uk/germany/frg/frg003.htm"
"1412","Federal Republic of Germany: Flood Relief Medal 2013","Einsatzmedaille Fluthilfe 2013","2 July 2013","https://medals.org.uk/germany/frg/frg012.htm"
"1413","Federal Republic of Germany: Order Pour le Mérite for Science and Arts","Pour le mérite für Wissenschaften und Künste","31 May 1954, based on a collective of outstanding practitioners who requested governmental recognition","https://medals.org.uk/germany/frg/frg008.htm"
"1414","Federal Republic of GermanyFederal State of Brandenburg: Order of Merit of Brandenburg","Verdienstorden des Landes Brandenburg","10 July 2003","https://medals.org.uk/germany/frg/frg013.htm"
"1415","Federal Republic of GermanyFederal State of Brandenburg: Brandenburg Lifesaving Medal","Brandenburg Rettungsmedaille","14 February 2003","https://medals.org.uk/germany/frg/frg014.htm"
"1416","Federal Republic of GermanyFederal State of Brandenburg: Cross of Honour for Outstanding Achievements in Firefighting","Ehrenkreuz Für hervorragende Verdienste im Feuerwehrwesen des Landes Brandenburg","1994","https://medals.org.uk/germany/frg/frg021.htm"
"1417","Federal Republic of GermanyFederal State of Brandenburg: Fire Service Decoration","Feuerwehr-Ehrenzeichen des Landes Brandenburg","15 February 1994","https://medals.org.uk/germany/frg/frg015.htm"
"1418","Federal Republic of GermanyFederal State of Brandenburg: Joachim von Winterfeldt Menkin Medal","Joachim von Winterfeldt-Menkin-Medaille","1994","https://medals.org.uk/germany/frg/frg022.htm"
"1419","Federal Republic of GermanyFederal State of Brandenburg: Civil Protection Decoration","Katastrophenschutz-Ehrenzeichen des Landes Brandenburg","2012","https://medals.org.uk/germany/frg/frg023.htm"
